name,directed_by,genre,type,id,initial_release_date
7 Seconds,Simon Fellows,Thriller|Action Film|Crime Fiction,,/en/7_seconds_2005,6/28/2005
28 Days Later,Danny Boyle,Science Fiction|Horror|Thriller,,/en/28_days_later,11/1/2002
21 Grams,Alejandro González Iñárritu,Thriller|Ensemble Film|Crime Fiction|Drama,,/en/21_grams,9/5/2003
The 9th Company,Fedor Bondarchuk,War film|Action Film|Historical fiction|Drama,,/en/9th_company,9/29/2005
102 Dalmatians,Kevin Lima,Family|Adventure Film|Comedy,,/en/102_dalmatians,11/22/2000
16 Years of Alcohol,Richard Jobson,Indie film|Drama,,/en/16_years_of_alcohol,8/14/2003
12B,Jeeva,Romance Film|Comedy|Tamil cinema|World cinema|Drama,,/en/12b,9/28/2001
2009 Lost Memories,Lee Si-myung,Thriller|Action Film|Science Fiction|Mystery|Drama,,/en/2009_lost_memories,2/1/2002
16 Blocks,Richard Donner,Thriller|Crime Fiction|Action Film|Drama,,/en/16_blocks,3/1/2006
15 Minutes,John Herzfeld,Thriller|Action Film|Crime Fiction|Crime Thriller|Drama,,/en/15_minutes,3/1/2001
50 First Dates,Peter Segal,Romantic comedy|Romance Film|Comedy,,/en/50_first_dates,2/13/2004
9 Songs,Michael Winterbottom,Erotica|Musical|Romance Film|Erotic Drama|Musical Drama|Drama,,/en/9_songs,5/16/2004
20 Fingers,Mania Akbari,World cinema|Drama,,/en/20_fingers_2004,9/1/2004
3 Needles,Thom Fitzgerald,Indie film|Social problem film|Chinese Movies|Drama,,/en/3_needles,12/1/2006
28 Days,Betty Thomas,Comedy-drama|Romantic comedy|Comedy|Drama,,/en/28_days_2000,2/8/2000
36 China Town,Abbas Burmawalla|Mustan Burmawalla,Thriller|Musical|Comedy|Mystery|Crime Fiction|Bollywood|Musical comedy,,/en/36_china_town,4/21/2006
"7 mujeres, 1 homosexual y Carlos",Rene Bueno,Romantic comedy|LGBT|Romance Film|World cinema|Sex comedy|Comedy|Drama,,/en/7_mujeres_1_homosexual_y_carlos,6/1/2004
88 Minutes,Jon Avnet,Thriller|Psychological thriller|Mystery|Drama,,/en/88_minutes,2/14/2007
500 Years Later,Owen 'Alik Shahadah,Indie film|Documentary film|History,,/en/500_years_later,10/11/2005
50 Ways of Saying Fabulous,Stewart Main,LGBT|Indie film|Historical period drama|Gay Themed|World cinema|Coming of age|Drama,,/en/50_ways_of_saying_fabulous,
5x2,François Ozon,Romance Film|World cinema|Marriage Drama|Fiction|Drama,,/en/5x2,9/1/2004
28 Weeks Later,Juan Carlos Fresnadillo,Science Fiction|Horror|Thriller,,/en/28_weeks_later,4/26/2007
10.5,John Lafia,Disaster Film|Thriller|Action/Adventure|Drama,,/en/10_5,5/2/2004
13 Going on 30,Gary Winick,Romantic comedy|Coming of age|Fantasy|Romance Film|Fantasy Comedy|Comedy,,/en/13_going_on_30,4/14/2004
2LDK,Yukihiko Tsutsumi,LGBT|Thriller|Psychological thriller|World cinema|Japanese Movies|Comedy|Drama,,/en/2ldk,5/13/2004
7½ Phere,Ishaan Trivedi,Bollywood|Comedy|Drama,,/en/7_phere,7/29/2005
A Beautiful Mind,Ron Howard,Biographical film|Psychological thriller|Historical period drama|Romance Film|Marriage Drama|Documentary film|Drama,,/en/a_beautiful_mind,12/13/2001
A Cinderella Story,Mark Rosman,Teen film|Romantic comedy|Romance Film|Family|Comedy,,/en/a_cinderella_story,7/10/2004
A Cock and Bull Story,Michael Winterbottom,Mockumentary|Indie film|Comedy|Drama,,/en/a_cock_and_bull_story,7/17/2005
A Common Thread,Éléonore Faucher,Romance Film|Drama,,/en/a_common_thread,5/14/2004
A Dirty Shame,John Waters,Sex comedy|Cult film|Parody|Black comedy|Gross out|Gross-out film|Comedy,,/en/a_dirty_shame,9/12/2004
A Duo Occasion,Pierre Lamoureux,Music video,,/en/a_duo_occasion,11/22/2005
A Good Year,Ridley Scott,Romantic comedy|Film adaptation|Romance Film|Comedy-drama|Slice of life|Comedy of manners|Comedy|Drama,,/en/a_good_year,9/9/2006
A History of Violence,David Cronenberg,Thriller|Psychological thriller|Crime Fiction|Drama,,/en/a_history_of_violence_2005,5/16/2005
A Hole in My Heart,Lukas Moodysson,Horror|Experimental film|Social problem film|Drama,,/en/ett_hal_i_mitt_hjarta,9/10/2004
A Knight's Tale,Brian Helgeland,Romantic comedy|Adventure Film|Action Film|Action/Adventure|Historical period drama|Costume Adventure|Comedy|Drama,,/en/a_knights_tale,3/8/2001
A League of Ordinary Gentlemen,Christopher Browne|Alexander H. Browne,Documentary film|Sports|Culture &amp; Society|Biographical film,,/en/a_league_of_ordinary_gentlemen,3/21/2006
A Little Trip to Heaven,Baltasar Kormákur,Thriller|Crime Fiction|Black comedy|Indie film|Comedy-drama|Detective fiction|Ensemble Film|Drama,,/en/a_little_trip_to_heaven,12/26/2005
A Lot like Love,Nigel Cole,Romantic comedy|Romance Film|Comedy-drama|Comedy|Drama,,/en/a_lot_like_love,4/21/2005
A Love Song for Bobby Long,Shainee Gabel,Film adaptation|Melodrama|Drama,,/en/a_love_song_for_bobby_long,9/2/2004
"A Man, a Real One",Arnaud Larrieu|Jean-Marie Larrieu,Comedy|Drama,,/en/a_man_a_real_one,5/28/2003
A Midsummer Night's Rave,Gil Cates Jr.,Romance Film|Romantic comedy|Teen film|Comedy|Drama,,/en/a_midsummer_nights_rave,
A Mighty Wind,Christopher Guest,Mockumentary|Parody|Musical|Musical comedy|Comedy,,/en/a_mighty_wind,3/12/2003
A Perfect Day,Khalil Joreige|Joana Hadjithomas,World cinema|Drama,,/en/a_perfect_day,
A Prairie Home Companion,Robert Altman,Musical comedy|Drama,,/en/a_prairie_home_companion_2006,2/12/2006
A Ring of Endless Light,Greg Beeman,Drama,,/en/a_ring_of_endless_light_2002,8/23/2002
A Scanner Darkly,Richard Linklater,Science Fiction|Dystopia|Animation|Future noir|Film adaptation|Thriller|Drama,,/en/a_scanner_darkly_2006,7/7/2006
A Short Film About John Bolton,Neil Gaiman,Documentary film|Short Film|Black comedy|Indie film|Mockumentary|Graphic &amp; Applied Arts|Comedy|Biographical film,,/en/a_short_film_about_john_bolton,
A Shot in the West,Bob Kelly,Western|Short Film,,/en/a_shot_in_the_west,7/16/2006
A Sound of Thunder,Peter Hyams,Science Fiction|Adventure Film|Thriller|Action Film|Apocalyptic and post-apocalyptic fiction|Time travel,,/en/a_sound_of_thunder_2005,5/15/2005
A State of Mind,Daniel Gordon,Documentary film|Political cinema|Sports,,/en/a_state_of_mind,8/10/2005
A Time for Drunken Horses,Bahman Ghobadi,World cinema|War film|Drama,,/en/a_time_for_drunken_horses,
À ton image,Aruna Villiers,Thriller|Science Fiction,,/en/a_ton_image,5/26/2004
A Very Long Engagement,Jean-Pierre Jeunet,War film|Romance Film|World cinema|Drama,,/en/a_very_long_engagement,10/27/2004
A View from Eiffel Tower,Nikola Vukčević,Drama,,/en/a_view_from_the_eiffel_tower,
A Walk to Remember,Adam Shankman,Coming of age|Romance Film|Drama,,/en/a_walk_to_remember,1/23/2002
A.I. Artificial Intelligence,Steven Spielberg,Science Fiction|Future noir|Adventure Film|Drama,,/en/a_i,6/26/2001
a/k/a Tommy Chong,Josh Gilbert,Documentary film|Culture &amp; Society|Law &amp; Crime|Biographical film,,/en/a_k_a_tommy_chong,6/14/2006
Aalvar,Chella,Action Film|Tamil cinema|World cinema,,/en/aalvar,1/12/2007
Aap Ki Khatir,Dharmesh Darshan,Romance Film|Romantic comedy|Bollywood|Drama,,/en/aap_ki_khatir,8/25/2006
Aaru,Hari,Thriller|Action Film|Drama|Tamil cinema|World cinema,,/en/aaru_2005,12/9/2005
Aata,V.N. Aditya,Romance Film|Tollywood|World cinema,,/en/aata,5/9/2007
Aadhi,Ramana,Thriller|Romance Film|Musical|Action Film|Tamil cinema|World cinema|Drama|Musical Drama,,/en/aathi,1/14/2006
Aaytha Ezhuthu,Mani Ratnam,Thriller|Political thriller|Tamil cinema|World cinema|Drama,,/en/aayitha_ezhuthu,5/21/2004
Abandon,Stephen Gaghan,Mystery|Thriller|Psychological thriller|Suspense|Drama,,/en/abandon_2002,10/18/2002
Abduction: The Megumi Yokota Story,Patty Kim|Chris Sheridan,Documentary film|Political cinema|Culture &amp; Society|Law &amp; Crime,,/en/abduction_the_megumi_yokota_story,
About a Boy,Chris Weitz|Paul Weitz,Romance Film|Comedy|Drama,,/en/about_a_boy_2002,4/26/2002
About Schmidt,Alexander Payne,Black comedy|Indie film|Comedy-drama|Tragicomedy|Comedy of manners|Comedy|Drama,,/en/about_schmidt,5/22/2002
Accepted,Steve Pink,Teen film|Comedy,,/en/accepted,8/18/2006
Across the Hall,Alex Merkin|Alex Merkin,Short Film|Thriller|Drama,,/en/across_the_hall,
Adam &amp; Steve,Craig Chester,Romance Film|Romantic comedy|LGBT|Gay Themed|Indie film|Gay|Gay Interest|Comedy,,/en/adam_steve,4/24/2005
Adam Resurrected,Paul Schrader,Historical period drama|Film adaptation|War film|Drama,,/en/adam_resurrected,8/30/2008
Adaptation,Spike Jonze,Crime Fiction|Comedy|Drama,,/en/adaptation_2002,12/6/2002
Address Unknown,Kim Ki-duk,War film|Drama,,/en/address_unknown,6/2/2001
Adrenaline Rush,Marc Fafard,Documentary film|Short Film,,/en/adrenaline_rush_2002,10/18/2002
Essential Keys To Better Bowling,,Documentary film|Sports,,/en/essential_keys_to_better_bowling_2006,
Adventures Into Digital Comics,Sébastien Dumesnil,Documentary film,,/en/adventures_into_digital_comics,
Ae Fond Kiss...,Ken Loach,Romance Film|Drama,,/en/ae_fond_kiss,2/13/2004
Aetbaar,Vikram Bhatt,Thriller|Romance Film|Mystery|Horror|Musical|Bollywood|World cinema|Drama|Musical Drama,,/en/aetbaar,1/23/2004
Aethirree,K. S. Ravikumar,Comedy|Tamil cinema|World cinema,,/en/aethiree,4/23/2004
After Innocence,Jessica Sanders,Documentary film|Crime Fiction|Political cinema|Culture &amp; Society|Law &amp; Crime|Biographical film,,/en/after_innocence,
After the Sunset,Brett Ratner,Crime Fiction|Action/Adventure|Action Film|Crime Thriller|Heist film|Caper story|Crime Comedy|Comedy,,/en/after_the_sunset,11/10/2004
Aftermath,Thomas Farone,Crime Fiction|Thriller,,/en/aftermath_2007,3/1/2013
Against the Ropes,Charles S. Dutton,Biographical film|Sports|Drama,,/en/against_the_ropes,2/20/2004
Agent Cody Banks 2: Destination London,Kevin Allen,Adventure Film|Action Film|Family|Action/Adventure|Spy film|Children's/Family|Family-Oriented Adventure|Comedy,,/en/agent_cody_banks_2_destination_london,3/12/2004
Agent One-Half,Brian Bero,Comedy,,/en/agent_one-half,
Agnes and His Brothers,Oskar Roehler,Drama|Comedy,,/en/agnes_and_his_brothers,9/5/2004
Mother of Mine,Klaus Härö,War film|Drama,,/en/aideista_parhain,8/25/2005
Aileen: Life and Death of a Serial Killer,Nick Broomfield|Joan Churchill,Documentary film|Crime Fiction|Political drama,,/en/aileen_life_and_death_of_a_serial_killer,5/10/2003
Air,Osamu Dezaki,Fantasy|Anime|Animation|Japanese Movies|Drama,,/en/air_2005,2/5/2005
Air Bud: Seventh Inning Fetch,Robert Vince,Family|Sports|Comedy|Drama,,/en/air_bud_seventh_inning_fetch,2/21/2002
Air Bud: Spikes Back,Mike Southon,Family|Sports|Comedy,,/en/air_bud_spikes_back,6/24/2003
Air Buddies,Robert Vince,Family|Animal Picture|Children's/Family|Family-Oriented Adventure|Comedy,,/en/air_buddies,12/10/2006
Aitraaz,Abbas Burmawalla|Mustan Burmawalla,Trial drama|Thriller|Bollywood|World cinema|Drama,,/en/aitraaz,11/12/2004
AKA,Duncan Roy,LGBT|Indie film|Historical period drama|Drama,,/en/aka_2002,1/19/2002
Aakasha Gopuram,K.P.Kumaran,Romance Film|Drama|Malayalam Cinema|World cinema,,/en/aakasha_gopuram,8/22/2008
Jodhaa Akbar,Ashutosh Gowariker,Biographical film|Romance Film|Musical|World cinema|Adventure Film|Action Film|Historical fiction|Musical Drama|Drama,,/en/akbar-jodha,2/13/2008
Akeelah and the Bee,Doug Atchison,Drama,,/en/akeelah_and_the_bee,3/16/2006
The Reflection,Rakeysh Omprakash Mehra,Horror|Thriller|Mystery|Bollywood|World cinema,,/en/aks,7/13/2001
Aksar,Anant Mahadevan,Romance Film|World cinema|Thriller|Drama,,/en/aksar,2/3/2006
Al Franken: God Spoke,Nick Doob|Chris Hegedus,Mockumentary|Documentary film|Political cinema|Culture &amp; Society|Biographical film,,/en/al_franken_god_spoke,9/13/2006
Different,Ashu Trikha,Thriller|Science Fiction|Bollywood|World cinema,,/en/alag,6/16/2006
Wave,Vikram Kumar,Romance Film|Drama|Comedy|Tamil cinema|World cinema,,/en/alai,9/10/2003
Waves,Mani Ratnam,Musical|Romance Film|Musical Drama|Drama,,/en/alaipayuthey,4/14/2000
Alatriste,Agustín Díaz Yanes,Thriller|War film|Adventure Film|Action Film|Drama|Historical fiction,,/en/alatriste,9/1/2006
Alex &amp; Emma,Rob Reiner,Romantic comedy|Romance Film|Comedy,,/en/alex_emma,6/20/2003
Alexander,Oliver Stone|Wilhelm Sasnal|Anka Sasnal,War film|Action Film|Adventure Film|Romance Film|Biographical film|Historical fiction|Drama,,/en/alexander_2004,11/16/2004
Alexandra's Project,Rolf de Heer,Thriller|Suspense|Psychological thriller|Indie film|World cinema|Drama,,/en/alexandras_project,
Alfie,Charles Shyer,Sex comedy|Remake|Comedy-drama|Romance Film|Romantic comedy|Comedy|Drama,,/en/alfie_2004,10/22/2004
Ali,Michael Mann,Biographical film|Sports|Historical period drama|Sports films|Drama,,/en/ali_2001,12/11/2001
Ali G Indahouse,Mark Mylod,Stoner film|Parody|Gross out|Gross-out film|Comedy,,/en/ali_g_indahouse,3/22/2002
Alien Autopsy,Jonny Campbell,Science Fiction|Mockumentary|Comedy,,/en/alien_autopsy_2006,4/7/2006
Alien vs. Predator,Paul W. S. Anderson,Science Fiction|Horror|Action Film|Monster movie|Thriller|Adventure Film,,/en/avp_alien_vs_predator,8/12/2004
AVPR: Aliens vs Predator - Requiem,Colin Strause|Greg Strause,Science Fiction|Action Film|Action/Adventure|Horror|Monster movie|Thriller,,/en/avpr_aliens_vs_predator_requiem,12/25/2007
Aliens of the Deep,James Cameron|Steven Quale|Steven Quale,Documentary film|Travel|Education|Biological Sciences,,/en/aliens_of_the_deep,1/28/2005
Alive,Ryuhei Kitamura,Science Fiction|Action Film|Horror|Thriller|World cinema|Action/Adventure|Japanese Movies,,/en/alive_2002,9/12/2002
All About Lily Chou-Chou,Shunji Iwai,Crime Fiction|Musical|Thriller|Art film|Romance Film|Drama|Musical Drama,,/en/all_about_lily_chou-chou,9/7/2001
All About the Benjamins,Kevin Bray,Action Film|Crime Fiction|Comedy|Thriller,,/en/all_about_the_benjamins,3/8/2002
All I Want,Jeffrey Porter,Romantic comedy|Coming of age|Romance Film|Comedy,,/en/all_i_want_2002,9/10/2002
All Over the Guy,Julie Davis,Indie film|LGBT|Romantic comedy|Romance Film|Gay|Gay Interest|Gay Themed|Comedy,,/en/all_over_the_guy,
All Souls Day,Jeremy Kasten|Mark A. Altman,Horror|Supernatural|Zombie Film,,/en/all_souls_day_2005,1/25/2005
All the King's Men,Steven Zaillian,Political drama|Thriller,,/en/all_the_kings_men_2006,9/10/2006
All the Real Girls,David Gordon Green,Romance Film|Indie film|Coming of age|Drama,,/en/all_the_real_girls,1/19/2003
Allari Bullodu,Kovelamudi Raghavendra Rao,Comedy|Romance Film|Tollywood|World cinema,,/en/allari_bullodu,
Allari Pidugu,Jayant Paranji,Drama|Tollywood|World cinema,,/en/allari_pidugu,10/5/2005
Alles auf Zucker!,Dani Levy,Comedy,,/en/alles_auf_zucker,12/31/2004
Alley Cats Strike!,Rod Daniel,Family|Sports,,/en/alley_cats_strike,3/18/2000
Almost Famous,Cameron Crowe,Musical|Comedy-drama|Musical Drama|Road movie|Musical comedy|Comedy|Music|Drama,,/en/almost_famous,9/8/2000
Almost: Round Three,Matt Hill|Matt Hill,Sports,,/en/almost_round_three,11/10/2004
Alone and Restless,Michael Thomas Dunn,Drama,,/en/alone_and_restless,
Alone in the Dark,Uwe Boll,Science Fiction|Horror|Action Film|Thriller|B movie|Action/Adventure,,/en/alone_in_the_dark,1/28/2005
Along Came Polly,John Hamburg,Romantic comedy|Romance Film|Gross out|Gross-out film|Comedy,,/en/along_came_polly,1/12/2004
Alpha Dog,Nick Cassavetes,Crime Fiction|Biographical film|Drama,,/en/alpha_dog,1/27/2006
Amélie,Jean-Pierre Jeunet,Romance Film|Comedy,,/en/amelie,4/25/2001
America: Freedom to Fascism,Aaron Russo,Documentary film|Political cinema|Culture &amp; Society,,/en/america_freedom_to_fascism,7/28/2006
America's Sweethearts,Joe Roth,Romantic comedy|Romance Film|Comedy,,/en/americas_sweethearts,7/17/2001
American Cowslip,Mark David,Black comedy|Indie film|Comedy,,/en/american_cowslip,7/24/2009
American Desi,Piyush Dinker Pandya,Indie film|Romance Film|Romantic comedy|Musical comedy|Teen film|Comedy,,/en/american_desi,
Bolt,Chris Williams|Byron Howard,Family|Adventure Film|Animation|Comedy,,/en/american_dog,11/17/2008
American Dreamz,Paul Weitz,Political cinema|Parody|Political satire|Media Satire|Comedy,,/en/american_dreamz,4/21/2006
American Gangster,Ridley Scott,Crime Fiction|War film|Crime Thriller|Historical period drama|Biographical film|Crime Drama|Gangster Film|True crime|Drama,,/en/american_gangster,10/19/2007
American Gun,Aric Avelino,Indie film|Drama,,/en/american_gun,9/15/2005
American Hardcore,Paul Rachman,Music|Documentary film|Rockumentary|Punk rock|Biographical film,,/en/american_hardcore_2006,3/11/2006
American Outlaws,Les Mayfield,Western|Costume drama|Action/Adventure|Action Film|Revisionist Western|Comedy Western|Comedy,,/en/american_outlaws,8/17/2001
American Pie Presents: The Naked Mile,Joe Nussbaum,Comedy,,/en/american_pie_the_naked_mile,12/7/2006
American Pie 2,James B. Rogers,Romance Film|Comedy,,/en/american_pie_2,8/6/2001
American Pie Presents: Band Camp,Steve Rash,Comedy,,/en/american_pie_presents_band_camp,10/31/2005
American Psycho,Mary Harron,Black comedy|Slasher|Thriller|Horror|Psychological thriller|Crime Fiction|Horror comedy|Comedy|Drama,,/en/american_psycho_2000,1/21/2000
American Splendor,Shari Springer Berman|Robert Pulcini,Indie film|Biographical film|Comedy-drama|Marriage Drama|Comedy|Drama,,/en/american_splendor_2003,1/20/2003
American Wedding,Jesse Dylan,Romance Film|Comedy,,/en/american_wedding,7/24/2003
Americano,Kevin Noland,Romance Film|Comedy|Drama,,/en/americano_2005,1/7/2005
Amma Nanna O Tamila Ammayi,Puri Jagannadh,Sports|Tollywood|World cinema|Drama,,/en/amma_nanna_o_tamila_ammayi,4/19/2003
Amores perros,Alejandro González Iñárritu,Thriller|Drama,,/en/amores_perros,5/14/2000
Amrutham,Sibi Malayil,Drama|Malayalam Cinema|World cinema,,/en/amrutham,12/24/2004
An American Crime,Tommy O'Haver,Crime Fiction|Biographical film|Indie film|Drama,,/en/an_american_crime,1/19/2007
An American Haunting,Courtney Solomon,Horror|Mystery|Thriller,,/en/an_american_haunting,11/5/2005
An American Tail: The Mystery of the Night Monster,Larry Latham,Fantasy|Animated cartoon|Animation|Music|Family|Adventure Film|Children's Fantasy|Children's/Family|Family-Oriented Adventure,,/en/an_american_tail_the_mystery_of_the_night_monster,7/25/2000
An Evening with Kevin Smith,J.M. Kenny,Documentary film|Stand-up comedy|Indie film|Film &amp; Television History|Comedy|Biographical film|Media studies,,/en/an_evening_with_kevin_smith,
An Evening with Kevin Smith 2: Evening Harder,J.M. Kenny,Documentary film,,/en/an_evening_with_kevin_smith_2006,
An Everlasting Piece,Barry Levinson,Comedy,,/en/an_everlasting_piece,12/25/2000
An Extremely Goofy Movie,Ian Harrowell|Douglas McCarthy,Animation|Coming of age|Animated Musical|Children's/Family|Comedy,,/en/an_extremely_goofy_movie,2/29/2000
An Inconvenient Truth,Davis Guggenheim,Documentary film,,/en/an_inconvenient_truth,1/24/2006
An Unfinished Life,Lasse Hallström,Melodrama|Drama,,/en/an_unfinished_life,8/19/2005
Anacondas: The Hunt for the Blood Orchid,Dwight H. Little,Thriller|Adventure Film|Horror|Action Film|Action/Adventure|Natural horror film|Jungle Film,,/en/anacondas_the_hunt_for_the_blood_orchid,8/25/2004
Anal Pick-Up,Decklin,Pornographic film|Gay pornography,,/en/anal_pick-up,
Analyze That,Harold Ramis,Buddy film|Crime Comedy|Gangster Film|Comedy,,/en/analyze_that,12/6/2002
Anamorph,H.S. Miller,Psychological thriller|Crime Fiction|Thriller|Mystery|Crime Thriller|Suspense,,/en/anamorph,
Anand,Sekhar Kammula,Musical|Comedy|Drama|Musical comedy|Musical Drama|Tollywood|World cinema,,/en/anand_2004,10/15/2004
Anbe Aaruyire,S. J. Surya,Romance Film|Tamil cinema|World cinema|Drama,,/en/anbe_aaruyire,8/15/2005
Love is God,Sundar C.,Musical|Musical comedy|Comedy|Adventure Film|Tamil cinema|World cinema|Drama|Musical Drama,,/en/anbe_sivam,1/14/2003
Ancanar,Sam R. Balcomb|Raiya Corsiglia,Fantasy|Adventure Film|Action/Adventure,,/en/ancanar,
Anchorman: The Legend of Ron Burgundy,Adam McKay,Comedy,,/en/anchorman_the_legend_of_ron_burgundy,6/28/2004
Andaaz,Raj Kanwar,Musical|Romance Film|Drama|Musical Drama,,/en/andaaz,5/23/2003
Andarivaadu,Srinu Vaitla,Comedy,,/en/andarivaadu,6/3/2005
Andhrawala,Puri Jagannadh|V.V.S. Ram,Adventure Film|Action Film|Tollywood|Drama,,/en/andhrawala,1/1/2004
Ang Tanging Ina,Wenn V. Deramas,Comedy|Drama,,/en/ang_tanging_ina,5/28/2003
Angel Eyes,Luis Mandoki,Romance Film|Crime Fiction|Drama,,/en/angel_eyes,5/18/2001
Angel-A,Luc Besson,Romance Film|Fantasy|Comedy|Romantic comedy|Drama,,/en/angel-a,12/21/2005
Angels &amp; Demons,Ron Howard,Thriller|Mystery|Crime Fiction,,/en/angels_and_demons_2008,5/4/2009
Virgin Territory,David Leland,Romance Film|Comedy|Adventure Film|Drama,,/en/angels_and_virgins,12/17/2007
Angels in the Infield,Robert King,Fantasy|Sports|Family|Children's/Family|Heavenly Comedy|Comedy,,/en/angels_in_the_infield,4/9/2000
Anger Management,Peter Segal,Black comedy|Slapstick|Comedy,,/en/anger_management_2003,3/5/2003
Angli: The Movie,Mario Busietta,Thriller|Action Film|Crime Fiction,,/en/angli_the_movie,5/28/2005
Animal Factory,Steve Buscemi,Crime Fiction|Prison film|Drama,,/en/animal_factory,10/22/2000
Anjaneya,Maharajan|N.Maharajan,Romance Film|Crime Fiction|Drama|World cinema|Tamil cinema,,/en/anjaneya,10/24/2003
Ankahee,Vikram Bhatt,Romance Film|Thriller|Drama,,/en/ankahee,5/19/2006
Annapolis,Justin Lin,Romance Film|Sports|Drama,,/en/annapolis_2006,
Annavaram,Gridhar|Bhimaneni Srinivasa Rao|Sippy,Thriller|Musical|Action Film|Romance Film|Tollywood|World cinema,,/en/annavaram_2007,12/29/2006
Anniyan,S. Shankar,Horror|Short Film|Psychological thriller|Thriller|Musical Drama|Action Film|Drama,,/en/anniyan,6/10/2005
Another Gay Movie,Todd Stephens,Parody|Coming of age|LGBT|Gay Themed|Romantic comedy|Romance Film|Gay|Gay Interest|Sex comedy|Comedy|Pornographic film,,/en/another_gay_movie,4/28/2006
Ant-Man,Peyton Reed,Thriller|Science Fiction|Action/Adventure|Superhero movie|Comedy,,/en/ant_man,7/17/2015
Anthony Zimmer,Jérôme Salle,Thriller|Romance Film|World cinema|Crime Thriller,,/en/anthony_zimmer,4/27/2005
Antwone Fisher,Denzel Washington,Romance Film|Biographical film|Drama,,/en/antwone_fisher_2003,9/12/2002
Anukokunda Oka Roju,Chandra Sekhar Yeleti,Thriller|Horror|Tollywood|World cinema,,/en/anukokunda_oka_roju,6/30/2005
Anus Magillicutty,Morey Fineburgh,B movie|Romance Film|Comedy,,/en/anus_magillicutty,4/15/2003
Any Way the Wind Blows,Tom Barman,Comedy-drama,,/en/any_way_the_wind_blows,5/17/2003
Anything Else,Woody Allen,Romantic comedy|Romance Film|Comedy,,/en/anything_else,8/27/2003
Apasionados,Juan José Jusid,Romantic comedy|Romance Film|World cinema|Comedy|Drama,,/en/apasionados,6/6/2002
Apocalypto,Mel Gibson,Action Film|Adventure Film|Epic film|Thriller|Drama,,/en/apocalypto,12/8/2006
April's Shower,Trish Doolan,Romantic comedy|Indie film|Romance Film|LGBT|Gay|Gay Interest|Gay Themed|Sex comedy|Comedy|Drama,,/en/aprils_shower,1/13/2006
Aquamarine,Elizabeth Allen Rosenbaum,Coming of age|Teen film|Romance Film|Family|Fantasy|Fantasy Comedy|Comedy,,/en/aquamarine_2006,2/26/2006
Arabian Nights,Steve Barron,Family|Fantasy|Adventure Film,,/en/arabian_nights,4/30/2000
Aragami,Ryuhei Kitamura,Thriller|Action/Adventure|World cinema|Japanese Movies|Action Film|Drama,,/en/aragami,3/27/2003
